T,m,chi,E,Cv,dm/dbeta,binder,dbinder/dbeta
0.885,9.94818735e-01,9.75514618e+01,-1.97945465e+00,5.58156004e-03,5.79536938e-01,6.66664864e-01,1.42832872e-05
0.886,9.94816878e-01,9.84304512e+01,-1.97944904e+00,5.62616375e-03,5.85454029e-01,6.66664846e-01,1.44266448e-05
0.887,9.94815006e-01,9.93151254e+01,-1.97944339e+00,5.67100814e-03,5.91417694e-01,6.66664828e-01,1.45711620e-05
0.888,9.94813120e-01,1.00205459e+02,-1.97943770e+00,5.71609248e-03,5.97427982e-01,6.66664809e-01,1.47166814e-05
0.889,9.94811218e-01,1.01101517e+02,-1.97943196e+00,5.76141860e-03,6.03485340e-01,6.66664790e-01,1.48633847e-05
0.890,9.94809302e-01,1.02003283e+02,-1.97942618e+00,5.80698603e-03,6.09589853e-01,6.66664771e-01,1.50111457e-05
0.891,9.94807370e-01,1.02910776e+02,-1.97942035e+00,5.85279533e-03,6.15741773e-01,6.66664752e-01,1.51599800e-05
0.892,9.94805424e-01,1.03824025e+02,-1.97941447e+00,5.89884728e-03,6.21941383e-01,6.66664733e-01,1.53099280e-05
0.893,9.94803462e-01,1.04743060e+02,-1.97940855e+00,5.94514276e-03,6.28188984e-01,6.66664714e-01,1.54610460e-05
0.894,9.94801485e-01,1.05667877e+02,-1.97940258e+00,5.99168164e-03,6.34484720e-01,6.66664694e-01,1.56132561e-05
0.895,9.94799492e-01,1.06598500e+02,-1.97939657e+00,6.03846458e-03,6.40828857e-01,6.66664675e-01,1.57665850e-05
0.896,9.94797485e-01,1.07534947e+02,-1.97939050e+00,6.08549210e-03,6.47221642e-01,6.66664655e-01,1.59210412e-05
0.897,9.94795461e-01,1.08477233e+02,-1.97938439e+00,6.13276461e-03,6.53663307e-01,6.66664635e-01,1.60766207e-05
0.898,9.94793423e-01,1.09425371e+02,-1.97937824e+00,6.18028250e-03,6.60154076e-01,6.66664615e-01,1.62333131e-05
0.899,9.94791368e-01,1.10379404e+02,-1.97937203e+00,6.22804696e-03,6.66694305e-01,6.66664595e-01,1.63912181e-05
0.900,9.94789298e-01,1.11339317e+02,-1.97936578e+00,6.27605756e-03,6.73284092e-01,6.66664574e-01,1.65502177e-05
0.901,9.94787212e-01,1.12305145e+02,-1.97935948e+00,6.32431530e-03,6.79923764e-01,6.66664554e-01,1.67103859e-05
